"模块","算子列表","npu kernel","算子类型","inputshape","output shape","dim","shape范围","input dtype","output dtype","input format","output format","dtype next1","dtype next2","next3","并行资源占用情况","duration","计算利用率","mte","scalar","融合算子分析","证据状态","配置来源","权重证据","PyTorch参考或调用","NVIDIA条件路径","AMD条件路径","实现来源","运行条件与缺口","数学关系或推导"
"decoder/layer_7","共享专家门控激活","AscendSiluAndMul.forward_oot → torch_npu.npu_swiglu
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","activation","gate/up:[T,2048]","[T,2048]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
","DeepseekV3MLP.forward（函数上下文，不是本步骤的有序调用链）
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：参考SiLU/SiTU表达式已定位；可能被MoE/MLP融合，未单独指定kernel。","未核验
层级：未知
适用条件：参考SiLU/SiTU表达式已定位；可能被MoE/MLP融合，未单独指定kernel。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/activation.py#L36
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L406","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；激活先计算FP32再回写的分支见来源；不是把I32/U8容器直接相乘。","SiLU(gate)×up"
"decoder/layer_7","共享专家下投影","AscendUnquantizedLinearMethod.apply → torch.ops.vllm.unquantized_gemm → unquantized_gemm → torch.nn.functional.linear
层级：框架函数 / 条件分派
适用条件：仅未量化线性分支；最终CANN设备算子未核验，不猜测MatMul接口。","linear","[T,2048]","[T,7168]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.7.mlp.shared_experts.down_proj.weight: stored 7168x2048 BF16; logical 7168x2048; multiplicity=1","Linear.forward → torch.nn.functional.linear
层级：torch.nn.Linear → torch.nn.functional.linear
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=X @ Wᵀ"
"decoder/layer_7","共享/路由分支合并","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认Ascend底层映射。","elementwise","shared,routed:[T,7168]","[T,7168]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
","DeepseekV3DecoderLayer.forward（函数上下文，不是本步骤的有序调用链）
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认CUDA底层映射。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认ROCm底层映射。","https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=Y_routed+Y_shared；共享专家使用原残差宽度输入"
"decoder/layer_7","前馈残差合并","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认Ascend底层映射。","residual","residual,branch:[T,7168]","[T,7168]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
","DeepseekV3DecoderLayer.forward（函数上下文，不是本步骤的有序调用链）
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认CUDA底层映射。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认ROCm底层映射。","https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=residual+branch；K3块边界prefix_sum可能为空并新开残差块"
"decoder/layer_8","输入归一化","AscendRMSNorm.forward_oot → torch_npu.npu_rms_norm / torch.ops._C_ascend.npu_add_rms_norm_bias
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","rms","[T,7168]","[T,7168]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.input_layernorm.weight: stored 7168 BF16; logical 7168; multiplicity=1","DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma
层级：参考RMSNorm源码步骤；不是单独设备API
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/layernorm.py#L74
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L104
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/layernorm.py#L64","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","RMSNorm: X×rsqrt(mean(X²)+eps)×γ"
"decoder/layer_8","q_a_proj","AscendUnquantizedLinearMethod.apply → torch.ops.vllm.unquantized_gemm → unquantized_gemm → torch.nn.functional.linear
层级：框架函数 / 条件分派
适用条件：仅未量化线性分支；最终CANN设备算子未核验，不猜测MatMul接口。","linear","[T,7168]","[T,1536]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.q_a_proj.weight: stored 1536x7168 BF16; logical 1536x7168; multiplicity=1","Linear.forward → torch.nn.functional.linear
层级：torch.nn.Linear → torch.nn.functional.linear
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=X @ Wᵀ"
"decoder/layer_8","q_a_layernorm","AscendRMSNorm.forward_oot → torch_npu.npu_rms_norm / torch.ops._C_ascend.npu_add_rms_norm_bias
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","rms","[T,1536]","[T,1536]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.q_a_layernorm.weight: stored 1536 BF16; logical 1536; multiplicity=1","DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma
层级：参考RMSNorm源码步骤；不是单独设备API
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/layernorm.py#L74
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L104
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/layernorm.py#L64","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","RMSNorm: X×rsqrt(mean(X²)+eps)×γ"
"decoder/layer_8","q_b_proj","AscendUnquantizedLinearMethod.apply → torch.ops.vllm.unquantized_gemm → unquantized_gemm → torch.nn.functional.linear
层级：框架函数 / 条件分派
适用条件：仅未量化线性分支；最终CANN设备算子未核验，不猜测MatMul接口。","linear","[T,1536]","[T,12288]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.q_b_proj.weight: stored 12288x1536 BF16; logical 12288x1536; multiplicity=1","Linear.forward → torch.nn.functional.linear
层级：torch.nn.Linear → torch.nn.functional.linear
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=X @ Wᵀ"
"decoder/layer_8","KV压缩投影","AscendUnquantizedLinearMethod.apply → torch.ops.vllm.unquantized_gemm → unquantized_gemm → torch.nn.functional.linear
层级：框架函数 / 条件分派
适用条件：仅未量化线性分支；最终CANN设备算子未核验，不猜测MatMul接口。","linear","[T,7168]","[T,576]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.kv_a_proj_with_mqa.weight: stored 576x7168 BF16; logical 576x7168; multiplicity=1","Linear.forward → torch.nn.functional.linear
层级：torch.nn.Linear → torch.nn.functional.linear
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=X @ Wᵀ"
"decoder/layer_8","拆分KV潜变量与旋转键","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认Ascend底层映射。","reshape","[T,576]","KV_c:[T,512]; Krope:[T,64]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
","DeepseekV3Attention.forward（函数上下文，不是本步骤的有序调用链）
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认CUDA底层映射。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认ROCm底层映射。","https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L750","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","split([kv_rank512,rope_dim64])"
"decoder/layer_8","kv_a_layernorm","AscendRMSNorm.forward_oot → torch_npu.npu_rms_norm / torch.ops._C_ascend.npu_add_rms_norm_bias
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","rms","[T,512]","[T,512]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.kv_a_layernorm.weight: stored 512 BF16; logical 512; multiplicity=1","DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma
层级：参考RMSNorm源码步骤；不是单独设备API
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","RMSNorm.forward_native → ir.ops.rms_norm / ir.ops.fused_add_rms_norm.maybe_inplace
层级：已核验native/IR分支；非已确认设备kernel
适用条件：所列forward_native进入IR注册算子；不能等同最终CUDA/ROCm kernel。CUDA forward另有BATCH_INVARIANT分支；本轮未追完编译/IR后端注册选择。","https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/layernorm.py#L74
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L104
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/layernorm.py#L64","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","RMSNorm: X×rsqrt(mean(X²)+eps)×γ"
"decoder/layer_8","kv_b_proj","AscendUnquantizedLinearMethod.apply → torch.ops.vllm.unquantized_gemm → unquantized_gemm → torch.nn.functional.linear
层级：框架函数 / 条件分派
适用条件：仅未量化线性分支；最终CANN设备算子未核验，不猜测MatMul接口。","linear","[T,512]","[T,16384]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
language_model.model.layers.8.self_attn.kv_b_proj.weight: stored 16384x512 BF16; logical 16384x512; multiplicity=1","Linear.forward → torch.nn.functional.linear
层级：torch.nn.Linear → torch.nn.functional.linear
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","未核验
层级：未知
适用条件：此线性层的Column/Row/Replicated封装需按具体模块核验，不能只由linear类别推定。","https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L1153
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","Y=X @ Wᵀ"
"decoder/layer_8","拆分Q/K/V与布局变换","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认Ascend底层映射。","reshape","Q:[T,12288]; KV:[T,16384]; Krope:[T,64]","Q/K:[B,64,S,192]; V:[B,64,S,128]","B,S,T；其他轴见模型参数","B[1,16];S_verify[1,8];L_KV独立未知；TP=1","继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证","未核验","逻辑轴顺序；物理format未核验","逻辑轴顺序；物理format未核验","未评估候选","未评估候选","未评估候选","未核验","未实测","未实测","未实测","未实测","无持久缓存","源码函数及调用已核验；权重证据独立列示","https://huggingface.co/moonshotai/Kimi-K2.6/resolve/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/config.json","固定检查点文件头审计
","DeepseekV3Attention.forward（函数上下文，不是本步骤的有序调用链）
层级：框架函数 / 条件分派
适用条件：仅证实所列源码分支；并列调用可能互斥或覆盖整个模块，不是本步骤1:1设备映射。未执行本机设备测试。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认CUDA底层映射。","未核验
层级：未知
适用条件：此步骤仅核验参考实现/shape；未确认ROCm底层映射。","https://huggingface.co/moonshotai/Kimi-K2.6/blob/7eb5002f6aadc958aed6a9177b7ed26bb94011bb/modeling_deepseek.py#L750","视觉/全局阶段按模块区分；文本T=B*S仅未切分batch的参考形状；decode S=1，verify S>1；L_KV独立；TP=1逻辑视图；","view/transpose/split；Krope在head维广播，不新增权重"
